zip,tone,url,themes
20251029081500.gkg.csv.zip,,https://en.antaranews.com/news/388585/indonesia-expands-rural-energy-access-with-community-programs,UNGP_FORESTS_RIVERS_OCEANS;SLFID_MINERAL_RESOURCES;WB_507_ENERGY_AND_EXTRACTIVES;WB_521_ENERGY_ACCESS;RURAL;WB_1877_RURAL_ELECTRIFICATION;ENV_OIL;ENV_SOLAR;WB_525_RENEWABLE_ENERGY;WB_528_SOLAR_ENERGY;
20251029081500.gkg.csv.zip,,https://www.dnaindia.com/world/report-pakistan-calls-afghanistan-tool-of-india-threatens-with-50-times-stronger-response-3185784,
20251029081500.gkg.csv.zip,,https://en.antaranews.com/news/388597/indonesia-aims-for-productivity-driven-employment-growth-in-2026,TAX_FNCACT;TAX_FNCACT_MINISTER;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;LEADER;TAX_FNCACT_PRESIDENT;US
20251029081500.gkg.csv.zip,,https://ianslive.in/anil-kapoor-ages-like-fine-wine-in-latest-pics-from-his-wellness-retreat-in-austria--20251029131635,
20251029081500.gkg.csv.zip,,https://wchstv.com/news/nation-world/north-koreas-missile-test-shows-military-might-ahead-of-trumps-visit-to-south-korea,LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;TAX_FNCACT_OFFICIAL;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POL
20251029081500.gkg.csv.zip,,https://www.nynganobserver.com.au/story/9100213/opinion-what-went-wrong-with-boms-new-website-redesign/,TAX_ETHNICITY;TAX_ETHNICITY_AUSTRALIANS;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TECH_SUPERCOMPUTING;AGRICULTURE;TAX_FNCACT;TAX_FNCACT_FARMERS;RURAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_FISHER
20251029081500.gkg.csv.zip,,https://starmometer.com/westlife-announce-new-album-25-the-ultimate-collection-out-13th-february-2026/,
20251029081500.gkg.csv.zip,,https://timesofindia.indiatimes.com/life-style/beauty/best-natural-oils-for-winter-skin-care-keep-your-skin-soft-and-healthy-in-cold-weather/articleshow/124890814.cms,NATURAL_DISASTER;NATURAL_DISASTER_CHILL;WB_644_NUTRITION;WB_1441_SUPPLEMENTS;WB_621_HEALTH_NUTRITION_AND_POPULATION;TAX_FOODSTAPLES;TAX_FOODSTAPLES_COCONUT_OIL;WB_137_WATER;TAX_WORLDMAMMALS;TAX_WORLDM
20251029081500.gkg.csv.zip,,https://clearme.s3.amazonaws.com/clearview/video/clearviewreviews2025realclient-qnh1l.html,
20251029081500.gkg.csv.zip,,https://www.wmuk.org/npr-news/2025-10-29/blue-jays-even-world-series-with-6-2-win-over-dodgers-in-game-4,
