ts,event_strength,gdelt_art_cnt_z,gdelt_tone_pos_ratio,gdelt_tone_avg,lambda,w_t
2019-02-25 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-25 12:00:00,0.0,0.0,0.5,0.0,0.8685506309003986,0.10800687814307827
2019-02-25 13:00:00,0.0,0.0,0.5,0.0,0.8633661717967586,0.10736217509097855
2019-02-25 14:00:00,0.0,0.0,0.5,0.0,0.805212873425522,0.100130637875596
2019-02-25 15:00:00,0.0,0.0,0.5,0.0,0.7594202492871938,0.09443618760499645
2019-02-25 16:00:00,0.0,0.0,0.5,0.0,0.6998044531465125,0.08702278440189919
2019-02-25 17:00:00,0.0,0.0,0.5,0.0,0.6872027344686206,0.08545572285682214
2019-02-25 18:00:00,0.0,0.0,0.5,0.0,0.6733945176040464,0.08373862964059917
2019-02-25 19:00:00,0.0,0.0,0.5,0.0,0.671773934902431,0.08353710531703415
2019-02-25 20:00:00,0.0,0.0,0.5,0.0,0.6695657055455455,0.08326250536790529
2019-02-25 21:00:00,0.0,0.0,0.5,0.0,0.6686924882017053,0.08315391816999974
2019-02-25 23:00:00,0.0,0.0,0.5,0.0,0.6671684654508131,0.08296440136615808
2019-02-26 00:00:00,0.0,0.0,0.5,0.0,0.6863336851452897,0.08534765396477836
2019-02-26 01:00:00,0.0,0.0,0.5,0.0,0.6825632717327866,0.08487879173901372
2019-02-26 02:00:00,0.0,0.0,0.5,0.0,0.6783215933976056,0.0843513263054844
2019-02-26 03:00:00,0.0,0.0,0.5,0.0,0.6784027371665424,0.08436141677672676
2019-02-26 04:00:00,0.0,0.0,0.5,0.0,0.67747051275956,0.08424549187339377
2019-02-26 05:00:00,0.0,0.0,0.5,0.0,0.6772782378604302,0.08422158191252163
2019-02-26 06:00:00,0.0,0.0,0.5,0.0,0.6747086697939251,0.08390204841019529
2019-02-26 07:00:00,0.0,0.0,0.5,0.0,0.6756514590078725,0.08401928707898754
2019-02-26 08:00:00,0.0,0.0,0.5,0.0,0.6720758903644857,0.08357465438514199
2019-02-26 09:00:00,0.0,0.0,0.5,0.0,0.666173635273958,0.08284069124741318
2019-02-26 10:00:00,0.0,0.0,0.5,0.0,0.688307743201918,0.0855931340097915
2019-02-26 11:00:00,0.0,0.0,0.5,0.0,0.6889788722854298,0.08567659092590241
2019-02-26 12:00:00,0.0,0.0,0.5,0.0,0.6733017786971192,0.08372709727914174
2019-02-26 13:00:00,0.0,0.0,0.5,0.0,0.8645161832803021,0.107505182471029
2019-02-26 14:00:00,0.0,0.0,0.5,0.0,0.9067945616343761,0.11276262572939338
2019-02-26 15:00:00,0.0,0.0,0.5,0.0,0.9720127153295282,0.12087269891138686
2019-02-26 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-26 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-26 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-26 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-26 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-26 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-26 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 15:00:00,0.0,0.0,0.5,0.0,0.9806852651402687,0.12195115651336613
2019-02-27 16:00:00,0.0,0.0,0.5,0.0,0.988525963009258,0.12292617082935911
2019-02-27 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-27 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 15:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-02-28 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-01 15:00:00,0.0,0.0,0.5,0.0,0.9165342561320577,0.11397378597651839
2019-03-01 16:00:00,0.0,0.0,0.5,0.0,0.7353284000110061,0.09144029382927364
2019-03-01 17:00:00,0.0,0.0,0.5,0.0,0.7316936121822596,0.09098829705196615
2019-03-01 18:00:00,0.0,0.0,0.5,0.0,0.7344195763944134,0.09132727888446943
2019-03-01 19:00:00,0.0,0.0,0.5,0.0,0.7399826650373938,0.09201906565634552
2019-03-01 20:00:00,0.0,0.0,0.5,0.0,0.7643024389599102,0.09504330254601702
2019-03-01 21:00:00,0.0,0.0,0.5,0.0,0.7644487144001526,0.09506149233609662
2019-03-03 23:00:00,0.0,0.0,0.5,0.0,0.7441967699820952,0.09254310225599965
2019-03-04 00:00:00,0.0,0.0,0.5,0.0,0.7434053934543334,0.0924446922092409
2019-03-04 01:00:00,0.0,0.0,0.5,0.0,0.753294910904454,0.09367448339023597
2019-03-04 02:00:00,0.0,0.0,0.5,0.0,0.7534845033189108,0.0936980597760868
2019-03-04 03:00:00,0.0,0.0,0.5,0.0,0.7548984225341495,0.09387388487476428
2019-03-04 04:00:00,0.0,0.0,0.5,0.0,0.7542007593694303,0.09378712836600597
2019-03-04 05:00:00,0.0,0.0,0.5,0.0,0.7539675326488136,0.09375812592320393
2019-03-04 06:00:00,0.0,0.0,0.5,0.0,0.7621537117438025,0.09477610186670571
2019-03-04 07:00:00,0.0,0.0,0.5,0.0,0.7798027731939656,0.09697081563648484
2019-03-04 08:00:00,0.0,0.0,0.5,0.0,0.7628335525578891,0.0948606421126642
2019-03-04 09:00:00,0.0,0.0,0.5,0.0,0.7546758798612265,0.09384621102536403
2019-03-04 10:00:00,0.0,0.0,0.5,0.0,0.7592490472044321,0.09441489811209548
2019-03-04 11:00:00,0.0,0.0,0.5,0.0,0.7515920308749011,0.09346272514690417
2019-03-04 12:00:00,0.0,0.0,0.5,0.0,0.7401927515332912,0.09204519054274203
2019-03-04 13:00:00,0.0,0.0,0.5,0.0,0.7348029281654563,0.09137494982793308
2019-03-04 14:00:00,0.0,0.0,0.5,0.0,0.7133781489668723,0.0887107142222955
2019-03-04 15:00:00,0.0,0.0,0.5,0.0,0.7465384786574532,0.09283430075905501
2019-03-04 16:00:00,0.0,0.0,0.5,0.0,0.8742475510566254,0.10871530726535819
2019-03-04 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-04 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-04 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-04 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-04 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-04 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 15:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-05 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 15:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-06 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 15:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 18:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 19:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 20:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 21:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-07 23:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 00:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 01:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 02:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 03:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 04:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 05:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 06:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 07:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 08:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 09:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 10:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 11:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 12:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 13:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 14:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 15:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 16:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 17:00:00,0.0,0.0,0.5,0.0,1.0,0.12435300177159621
2019-03-08 18:00:00,0.0,0.0,0.5,0.0,0.8877282340257853,0.11039167065850444
2019-03-08 19:00:00,0.0,0.0,0.5,0.0,0.8453271132216664,0.1051189640080322
2019-03-08 20:00:00,0.0,0.0,0.5,0.0,0.8401775344047853,0.10447859842429359
2019-03-08 21:00:00,0.0,0.0,0.5,0.0,0.8391997660137913,0.10435700998983612
2019-03-10 22:00:00,0.0,0.0,0.5,0.0,0.8352679798088919,0.10386808057293272
2019-03-10 23:00:00,0.0,0.0,0.5,0.0,0.8392215531013927,0.10435971927957921
2019-03-11 00:00:00,0.0,0.0,0.5,0.0,0.8413631617601842,0.10462603474491998
2019-03-11 01:00:00,0.0,0.0,0.5,0.0,0.8360877409038666,0.1039700203258284
2019-03-11 02:00:00,0.0,0.0,0.5,0.0,0.8313645932209244,0.10338268273364397
2019-03-11 03:00:00,0.0,0.0,0.5,0.0,0.8323363046026949,0.10350351796082276
2019-03-11 04:00:00,0.0,0.0,0.5,0.0,0.8352308706924775,0.1038634659429135
2019-03-11 05:00:00,0.0,0.0,0.5,0.0,0.8413687596868391,0.10462673086390321
2019-03-11 06:00:00,0.0,0.0,0.5,0.0,0.8479194084991422,0.10544132370726464
