ts,event_strength,neg_boost,lambda,w_t
2019-02-28 02:00:00,0.0,1.0,1.0,0.0
2019-02-28 03:00:00,0.0,1.0,1.0,0.0
2019-02-28 04:00:00,0.0,1.0,1.0,0.0
2019-02-28 05:00:00,0.0,1.0,1.0,0.0
2019-02-28 06:00:00,0.0,1.0,1.0,0.0
2019-02-28 07:00:00,0.0,1.0,1.0,0.0
2019-02-28 08:00:00,0.0,1.0,1.0,0.0
2019-02-28 09:00:00,0.0,1.0,1.0,0.0
2019-02-28 10:00:00,0.0,1.0,1.0,0.0
2019-02-28 11:00:00,0.0,1.0,1.0,0.0
2019-02-28 12:00:00,0.0,1.0,1.0,0.0
2019-02-28 13:00:00,0.0,1.0,1.0,0.0
2019-02-28 14:00:00,0.0,1.0,1.0,0.0
2019-02-28 15:00:00,0.0,1.0,1.0,0.0
2019-02-28 16:00:00,0.0,1.0,1.0,0.0
2019-02-28 17:00:00,0.0,1.0,1.0,0.0
2019-02-28 18:00:00,0.0,1.0,1.0,0.0
2019-02-28 19:00:00,0.0,1.0,1.0,0.0
2019-02-28 20:00:00,0.0,1.0,1.0,0.0
2019-02-28 21:00:00,0.0,1.0,1.0,0.0
2019-02-28 23:00:00,0.0,1.0,1.0,0.0
2019-03-01 00:00:00,0.0,1.0,1.0,0.0
2019-03-01 01:00:00,0.0,1.0,1.0,0.0
2019-03-01 02:00:00,0.0,1.0,1.0,0.0
2019-03-01 03:00:00,0.0,1.0,1.0,0.0
2019-03-01 04:00:00,0.0,1.0,1.0,0.0
2019-03-01 05:00:00,0.0,1.0,1.0,0.0
2019-03-01 06:00:00,0.0,1.0,1.0,0.0
2019-03-01 07:00:00,0.0,1.0,1.0,0.0
2019-03-01 08:00:00,0.0,1.0,1.0,0.0
2019-03-01 09:00:00,0.0,1.0,1.0,0.0
2019-03-01 10:00:00,0.0,1.0,1.0,0.0
2019-03-01 11:00:00,0.0,1.0,1.0,0.0
2019-03-01 12:00:00,0.0,1.0,1.0,0.0
2019-03-01 13:00:00,0.0,1.0,1.0,0.0
2019-03-01 14:00:00,0.0,1.0,1.0,0.0
2019-03-01 15:00:00,0.0,1.0,0.9158045562269955,0.0
2019-03-01 16:00:00,0.0,1.0,0.7347429673770509,0.0
2019-03-01 17:00:00,0.0,1.0,0.7311110733892229,0.0
2019-03-01 18:00:00,0.0,1.0,0.7338348673215278,0.0
2019-03-01 19:00:00,0.0,1.0,0.7393935269044623,0.0
2019-03-01 20:00:00,0.0,1.0,0.7636939386082686,0.0
2019-03-01 21:00:00,0.0,1.0,0.7638400975911346,0.0
2019-03-03 23:00:00,0.0,1.0,0.7436042767841918,0.0
2019-03-04 00:00:00,0.0,1.0,0.7428135303118518,0.0
2019-03-04 01:00:00,0.0,1.0,0.7526951742101698,0.0
2019-03-04 02:00:00,0.0,1.0,0.7528846156803866,0.0
2019-03-04 03:00:00,0.0,1.0,0.754297409202057,0.0
2019-03-04 04:00:00,0.0,1.0,0.7536003014827471,0.0
2019-03-04 05:00:00,0.0,1.0,0.7533672604458784,0.0
2019-03-04 06:00:00,0.0,1.0,0.7615469221040467,0.0
2019-03-04 07:00:00,0.0,1.0,0.7791819322316559,0.0
2019-03-04 08:00:00,0.0,1.0,0.7622262216620108,0.0
2019-03-04 09:00:00,0.0,1.0,0.754075043706764,0.0
2019-03-04 10:00:00,0.0,1.0,0.7586445701170161,0.0
2019-03-04 11:00:00,0.0,1.0,0.7509936499307023,0.0
2019-03-04 12:00:00,0.0,1.0,0.7396034461397306,0.0
2019-03-04 13:00:00,0.0,1.0,0.7342179138865743,0.0
2019-03-04 14:00:00,0.0,1.0,0.7128101920529961,0.0
